DATE,LNU07100000
1990-02-01,2377
1990-03-01,1999
1990-04-01,1884
1990-05-01,1906
1990-06-01,2239
1990-07-01,1908
1990-08-01,2240
1990-09-01,1922
1990-10-01,2067
1990-11-01,1835
1990-12-01,1480
1991-01-01,1510
1991-02-01,2256
1991-03-01,2193
1991-04-01,2491
1991-05-01,2183
1991-06-01,2290
1991-07-01,2193
1991-08-01,2414
1991-09-01,2389
1991-10-01,2097
1991-11-01,2020
1991-12-01,1482
1992-01-01,1845
1992-02-01,2053
1992-03-01,2249
1992-04-01,2558
1992-05-01,2155
1992-06-01,2244
1992-07-01,2771
1992-08-01,2214
1992-09-01,2399
1992-10-01,2441
1992-11-01,1931
1992-12-01,1821
1993-01-01,1591
1993-02-01,2101
1993-03-01,2250
1993-04-01,2505
1993-05-01,2247
1993-06-01,2083
1993-07-01,2740
1993-08-01,2164
1993-09-01,2395
1993-10-01,2097
1993-11-01,1873
1993-12-01,1755
1994-01-01,1586
1994-02-01,2238
1994-03-01,2225
1994-04-01,2525
1994-05-01,2262
1994-06-01,2152
1994-07-01,2402
1994-08-01,2298
1994-09-01,2525
1994-10-01,2021
1994-11-01,1817
1994-12-01,1816
1995-01-01,1523
1995-02-01,2393
1995-03-01,2025
1995-04-01,2099
1995-05-01,2076
1995-06-01,2210
1995-07-01,2277
1995-08-01,2282
1995-09-01,2427
1995-10-01,2164
1995-11-01,1937
1995-12-01,1452
1996-01-01,1524
1996-02-01,2376
1996-03-01,2078
1996-04-01,2051
1996-05-01,2224
1996-06-01,1996
1996-07-01,2178
1996-08-01,2427
1996-09-01,2076
1996-10-01,2069
1996-11-01,1922
1996-12-01,1497
1997-01-01,1674
1997-02-01,2212
1997-03-01,2120
1997-04-01,2067
1997-05-01,2258
1997-06-01,1969
1997-07-01,2230
1997-08-01,2152
1997-09-01,1882
1997-10-01,2192
1997-11-01,1665
1997-12-01,1610
1998-01-01,1428
1998-02-01,2066
1998-03-01,1886
1998-04-01,2356
1998-05-01,1735
1998-06-01,1847
1998-07-01,2250
1998-08-01,2024
1998-09-01,2013
1998-10-01,2108
1998-11-01,1702
1998-12-01,1490
1999-01-01,1434
1999-02-01,1966
1999-03-01,2015
